Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 104, 1, 15.488, 15.488, 16.059, 0.571, 25, 16.059, 17.205, 1.146, 1351, 0, 17.205, 17.263, 0.058, 116,     1.775,
 37, 1, 5.605, 5.605, 5.605, 0, 12, 5.605, 17.292, 11.687, 1736, 0, 17.292, 17.327, 0.035, 69,    11.722,
 49, 1, 7.293, 7.293, 7.323, 0.03, 36, 7.323, 17.387, 10.064, 1466, 0,TimeOut
 48, 1, 7.274, 7.274, 7.358, 0.084, 168, 7.358, 17.387, 10.029, 1208, 0,TimeOut
 105, 1, 15.685, 15.685, 16.135, 0.45, 142, 16.135, 17.454, 1.319, 1276, 0, 17.454, 17.497, 0.043, 85,     1.812,
 50, 1, 7.683, 7.683, 7.693, 0.01, 19, 7.693, 17.716, 10.023, 1096, 0,TimeOut
 107, 1, 15.727, 15.727, 16.183, 0.456, 11, 16.183, 17.714, 1.531, 1317, 0, 17.714, 17.724, 0.01, 18,     1.997,
 93, 1, 14.543, 14.543, 16.293, 1.75, 3481, 16.293, 17.977, 1.685, 1200, 0, 17.977, 18.022, 0.044, 89,     3.479,
 39, 1, 5.777, 5.777, 5.793, 0.016, 31, 5.793, 18.04, 12.248, 1087, 0, 18.04, 18.05, 0.01, 17,    12.273,
 51, 1, 8.056, 8.056, 8.089, 0.033, 66, 8.089, 18.117, 10.028, 985, 0,TimeOut
 52, 1, 8.15, 8.15, 8.21, 0.059, 92, 8.21, 18.235, 10.026, 1743, 0,TimeOut
 54, 1, 8.255, 8.255, 8.278, 0.024, 47, 8.278, 18.299, 10.02, 1270, 0,TimeOut
 36, 1, 5.265, 5.265, 5.338, 0.074, 161, 5.338, 16.544, 11.206, 2063, 0, 16.544, 18.414, 1.87, 3741,    13.149,
 53, 1, 8.24, 8.24, 8.379, 0.139, 291, 8.379, 18.458, 10.079, 1626, 0,TimeOut
 55, 1, 8.599, 8.599, 8.764, 0.165, 315, 8.764, 18.783, 10.019, 1525, 0,TimeOut
 57, 1, 8.754, 8.754, 8.774, 0.02, 28, 8.774, 18.795, 10.021, 1776, 0,TimeOut
 58, 1, 8.888, 8.888, 8.933, 0.046, 91, 8.933, 18.962, 10.029, 1026, 0,TimeOut
 38, 1, 5.67, 5.67, 6.055, 0.386, 779, 6.055, 18.79, 12.734, 808, 0, 18.79, 19, 0.21, 420,    13.330,
 110, 1, 16.925, 16.925, 16.95, 0.024, 35, 16.95, 18.976, 2.026, 1021, 0, 18.976, 19.02, 0.044, 89,     2.095,
 40, 1, 6.019, 6.019, 6.069, 0.05, 84, 6.069, 19.049, 12.98, 1504, 0, 19.049, 19.059, 0.01, 3,    13.040,
 112, 1, 17.692, 17.692, 17.702, 0.01, 6, 17.702, 19.235, 1.533, 1311, 0, 19.235, 19.245, 0.01, 3,     1.553,
 60, 1, 9.352, 9.352, 9.362, 0.01, 1, 9.362, 19.379, 10.017, 1467, 0,TimeOut
 114, 1, 17.808, 17.808, 17.823, 0.015, 48, 17.823, 19.484, 1.661, 1798, 0, 19.484, 19.497, 0.013, 26,     1.690,
 61, 1, 9.38, 9.38, 9.496, 0.116, 240, 9.496, 19.557, 10.061, 1622, 0,TimeOut
 41, 1, 6.177, 6.177, 6.38, 0.203, 407, 6.38, 19.572, 13.192, 1386, 0, 19.572, 19.582, 0.01, 5,    13.405,
 62, 1, 9.463, 9.463, 9.568, 0.104, 144, 9.568, 19.584, 10.016, 1486, 0,TimeOut
 63, 1, 9.479, 9.479, 9.582, 0.102, 11, 9.582, 19.596, 10.014, 1553, 0,TimeOut
 42, 1, 6.218, 6.218, 6.242, 0.024, 50, 6.242, 19.307, 13.065, 1434, 0, 19.307, 19.606, 0.299, 607,    13.388,
 44, 1, 6.392, 6.392, 6.416, 0.024, 35, 6.416, 19.825, 13.408, 1666, 0, 19.825, 19.843, 0.018, 36,    13.451,
 116, 1, 17.91, 17.91, 17.92, 0.01, 16, 17.92, 19.746, 1.826, 1485, 0, 19.746, 19.931, 0.184, 369,     2.021,
 65, 1, 9.585, 9.585, 10.038, 0.453, 138, 10.038, 20.058, 10.02, 1340, 0,TimeOut
 43, 1, 6.35, 6.35, 6.43, 0.08, 139, 6.43, 20.074, 13.644, 1318, 0, 20.074, 20.119, 0.044, 89,    13.768,
 66, 1, 9.928, 9.928, 10.142, 0.215, 177, 10.142, 20.208, 10.065, 1643, 0,TimeOut
 118, 1, 18.093, 18.093, 18.103, 0.01, 10, 18.103, 20.015, 1.913, 1379, 0, 20.015, 20.235, 0.22, 440,     2.143,
 119, 1, 18.808, 18.808, 18.853, 0.045, 90, 18.853, 20.272, 1.419, 1190, 0, 20.272, 20.295, 0.023, 46,     1.487,
 67, 1, 10.396, 10.396, 10.445, 0.049, 97, 10.445, 20.467, 10.022, 1651, 0,TimeOut
 121, 1, 18.885, 18.885, 18.91, 0.025, 53, 18.91, 20.532, 1.622, 1305, 0, 20.532, 20.626, 0.094, 188,     1.741,
 68, 1, 10.571, 10.571, 10.581, 0.01, 3, 10.581, 20.664, 10.083, 2161, 0,TimeOut
 69, 1, 10.599, 10.599, 10.654, 0.055, 118, 10.654, 20.678, 10.024, 1151, 0,TimeOut
 71, 1, 10.919, 10.919, 10.947, 0.028, 35, 10.947, 20.968, 10.021, 1966, 0,TimeOut
 129, 1, 20.21, 20.21, 20.267, 0.057, 119, 20.267, 21.014, 0.747, 1841, 0, 21.014, 21.027, 0.013, 26,     0.817,
 120, 1, 18.861, 18.861, 19.052, 0.192, 399, 19.052, 21.042, 1.99, 1077, 0, 21.042, 21.054, 0.012, 24,     2.193,
 45, 1, 6.644, 6.644, 6.836, 0.192, 384, 6.836, 21.08, 14.245, 1525, 0, 21.08, 21.09, 0.01, 9,    14.447,
 72, 1, 11.128, 11.128, 11.161, 0.034, 32, 11.161, 21.185, 10.024, 1388, 0,TimeOut
 73, 1, 11.162, 11.162, 11.195, 0.034, 68, 11.195, 21.212, 10.016, 1427, 0,TimeOut
 131, 1, 20.527, 20.527, 20.537, 0.011, 30, 20.537, 21.263, 0.726, 1184, 0, 21.263, 21.273, 0.01, 3,     0.746,
 123, 1, 19.147, 19.147, 19.167, 0.02, 29, 19.167, 21.291, 2.124, 1841, 0, 21.291, 21.332, 0.041, 81,     2.184,
 74, 1, 11.347, 11.347, 11.347, 0, 12, 11.347, 21.399, 10.052, 1216, 0,TimeOut
 75, 1, 11.362, 11.362, 11.362, 0, 7, 11.362, 21.399, 10.037, 1917, 0,TimeOut
 134, 1, 20.791, 20.791, 20.791, 0, 16, 20.791, 21.513, 0.722, 1047, 0, 21.513, 21.526, 0.014, 27,     0.736,
 136, 1, 20.883, 20.883, 20.91, 0.027, 62, 20.91, 21.772, 0.862, 1031, 0, 21.772, 21.788, 0.017, 33,     0.905,
 46, 1, 7.16, 7.16, 7.201, 0.04, 98, 7.201, 21.85, 14.649, 1350, 0, 21.85, 21.86, 0.01, 5,    14.700,
 76, 1, 12.057, 12.057, 12.089, 0.032, 45, 12.089, 22.107, 10.018, 1783, 0,TimeOut
 47, 1, 7.261, 7.261, 7.303, 0.042, 71, 7.303, 22.099, 14.796, 1694, 0, 22.099, 22.134, 0.035, 74,    14.873,
 126, 1, 19.584, 19.584, 19.61, 0.026, 44, 19.61, 22.305, 2.695, 1781, 0, 22.305, 22.316, 0.012, 23,     2.733,
 56, 1, 8.697, 8.697, 8.697, 0, 14, 8.697, 22.348, 13.651, 1426, 0, 22.348, 22.424, 0.076, 152,    13.727,
 78, 1, 12.334, 12.334, 12.424, 0.09, 135, 12.424, 22.545, 10.121, 1755, 0,TimeOut
 79, 1, 12.438, 12.438, 12.464, 0.026, 54, 12.464, 22.545, 10.08, 1282, 0,TimeOut
 140, 1, 21.237, 21.237, 21.306, 0.069, 6, 21.306, 22.538, 1.232, 1915, 0, 22.538, 22.576, 0.038, 57,     1.339,
 124, 1, 19.338, 19.338, 19.853, 0.515, 1018, 19.853, 22.816, 2.962, 1643, 0, 22.816, 22.826, 0.01, 17,     3.488,
 80, 1, 12.491, 12.491, 12.929, 0.438, 883, 12.929, 22.955, 10.026, 1205, 0,TimeOut
 81, 1, 12.882, 12.882, 12.943, 0.062, 25, 12.943, 22.975, 10.032, 1732, 0,TimeOut
 82, 1, 12.907, 12.907, 12.952, 0.045, 7, 12.952, 22.975, 10.023, 1352, 0,TimeOut
 83, 1, 12.952, 12.952, 12.994, 0.041, 83, 12.994, 23.008, 10.014, 1364, 0,TimeOut
 84, 1, 13.047, 13.047, 13.057, 0.01, 3, 13.057, 23.078, 10.021, 1345, 0,TimeOut
 127, 1, 19.87, 19.87, 19.885, 0.015, 42, 19.885, 23.069, 3.184, 1774, 0, 23.069, 23.079, 0.01, 10,     3.209,
 142, 1, 21.599, 21.599, 21.609, 0.01, 11, 21.609, 22.798, 1.189, 1373, 0, 22.798, 23.111, 0.314, 628,     1.512,
 85, 1, 13.089, 13.089, 13.089, 0, 4, 13.089, 23.122, 10.033, 1672, 0,TimeOut
 86, 1, 13.133, 13.133, 13.222, 0.089, 179, 13.222, 23.308, 10.086, 1199, 0,TimeOut
 64, 1, 9.513, 9.513, 13.255, 3.742, 7347, 13.255, 23.308, 10.053, 1917, 0,TimeOut
 145, 1, 21.97, 21.97, 22.036, 0.066, 109, 22.036, 23.299, 1.263, 1689, 0, 23.299, 23.319, 0.02, 39,     1.349,
 87, 1, 13.157, 13.157, 13.304, 0.146, 164, 13.304, 23.328, 10.024, 1181, 0,TimeOut
 88, 1, 13.33, 13.33, 13.375, 0.045, 90, 13.375, 23.394, 10.019, 1429, 0,TimeOut
 59, 1, 9.328, 9.328, 9.969, 0.64, 1252, 9.969, 23.363, 13.394, 1295, 0, 23.363, 23.466, 0.103, 206,    14.138,
 89, 1, 13.489, 13.489, 13.535, 0.046, 111, 13.535, 23.56, 10.024, 1592, 0,TimeOut
 147, 1, 22.087, 22.087, 22.215, 0.128, 269, 22.215, 23.549, 1.334, 1562, 0, 23.549, 23.564, 0.015, 29,     1.476,
 90, 1, 13.503, 13.503, 13.549, 0.046, 71, 13.549, 23.574, 10.024, 1508, 0,TimeOut
 128, 1, 19.953, 19.953, 20.008, 0.055, 92, 20.008, 23.569, 3.561, 1342, 0, 23.569, 23.63, 0.061, 133,     3.677,
 130, 1, 20.478, 20.478, 20.488, 0.01, 9, 20.488, 24.089, 3.6, 1175, 0, 24.089, 24.111, 0.022, 44,     3.632,
 151, 1, 22.73, 22.73, 22.768, 0.038, 57, 22.768, 24.06, 1.293, 1600, 0, 24.06, 24.137, 0.077, 154,     1.407,
