Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 70, 1, 10.903, 10.903, 10.913, 0.01, 2, 10.913, 24.116, 13.203, 1456, 0, 24.116, 24.157, 0.041, 57,    13.254,
 91, 1, 14.112, 14.112, 14.122, 0.01, 1, 14.122, 24.158, 10.036, 1626, 0,TimeOut
 149, 1, 22.279, 22.279, 22.311, 0.031, 64, 22.311, 23.801, 1.49, 1832, 0, 23.801, 24.179, 0.379, 758,     1.900,
 92, 1, 14.208, 14.208, 14.233, 0.025, 50, 14.233, 24.27, 10.037, 1276, 0,TimeOut
 94, 1, 14.569, 14.569, 14.579, 0.01, 14, 14.579, 24.599, 10.02, 1737, 0,TimeOut
 133, 1, 20.751, 20.751, 20.859, 0.109, 201, 20.859, 24.588, 3.729, 1649, 0, 24.588, 24.614, 0.026, 52,     3.863,
 95, 1, 14.591, 14.591, 14.601, 0.01, 17, 14.601, 24.633, 10.032, 1187, 0,TimeOut
 77, 1, 12.188, 12.188, 12.356, 0.168, 344, 12.356, 24.625, 12.269, 1784, 0, 24.625, 24.635, 0.01, 13,    12.447,
 96, 1, 14.729, 14.729, 14.755, 0.026, 52, 14.755, 24.772, 10.017, 1419, 0,TimeOut
 137, 1, 20.941, 20.941, 20.941, 0, 1, 20.941, 24.84, 3.899, 1413, 0, 24.84, 24.857, 0.017, 33,     3.916,
 154, 1, 23.401, 23.401, 23.487, 0.086, 186, 23.487, 24.559, 1.073, 1359, 0, 24.559, 24.874, 0.315, 614,     1.474,
 97, 1, 14.891, 14.891, 14.916, 0.025, 42, 14.916, 24.968, 10.052, 1532, 0,TimeOut
 157, 1, 23.835, 23.835, 23.835, 0, 1, 23.835, 25.067, 1.231, 1347, 0, 25.067, 25.077, 0.01, 1,     1.241,
 159, 1, 23.929, 23.929, 23.939, 0.01, 8, 23.939, 25.316, 1.377, 1718, 0, 25.316, 25.326, 0.01, 4,     1.397,
 100, 1, 15.048, 15.048, 15.374, 0.326, 239, 15.374, 25.401, 10.027, 2037, 0,TimeOut
 101, 1, 15.272, 15.272, 15.564, 0.292, 347, 15.564, 25.597, 10.033, 1866, 0,TimeOut
 167, 1, 24.665, 24.665, 24.758, 0.093, 14, 24.758, 25.622, 0.864, 1066, 0, 25.622, 25.635, 0.013, 26,     0.970,
 166, 1, 24.593, 24.593, 24.744, 0.151, 54, 24.744, 26.064, 1.32, 2189, 0, 26.064, 26.074, 0.01, 2,     1.482,
