Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 0, 0.294, 0.294, 0.304, 0.01, 20, 0.304, 1.615, 1.31, 1597, 2, 1.615, 1.638, 0.024, 47,     1.344,
 1, 0, 0.377, 0.377, 0.403, 0.026, 51, 0.403, 1.865, 1.462, 1421, 2, 1.865, 1.892, 0.027, 54,     1.515,
 2, 0, 0.482, 0.482, 0.492, 0.01, 10, 0.492, 2.115, 1.623, 1745, 2, 2.115, 2.17, 0.055, 111,     1.688,
 3, 0, 0.565, 0.565, 0.575, 0.01, 5, 0.575, 2.382, 1.808, 1740, 2, 2.382, 2.392, 0.01, 1,     1.828,
 4, 0, 0.908, 0.908, 0.921, 0.012, 25, 0.921, 3.39, 2.47, 1600, 2, 3.39, 3.476, 0.086, 172,     2.568,
 5, 0, 1.992, 1.992, 2.002, 0.01, 15, 2.002, 5.401, 3.399, 1583, 2, 5.401, 5.413, 0.013, 25,     3.421,
 7, 0, 2.09, 2.09, 2.108, 0.018, 36, 2.108, 5.657, 3.549, 1709, 2, 5.657, 5.667, 0.01, 5,     3.577,
 6, 0, 2.032, 2.032, 2.171, 0.139, 278, 2.171, 6.157, 3.985, 1563, 2, 6.157, 6.167, 0.01, 12,     4.134,
 8, 0, 2.169, 2.169, 2.191, 0.022, 43, 2.191, 6.406, 4.215, 1696, 2, 6.406, 6.474, 0.069, 137,     4.306,
 9, 0, 2.204, 2.204, 2.218, 0.014, 35, 2.218, 6.657, 4.439, 1728, 2, 6.657, 6.672, 0.015, 30,     4.468,
 10, 0, 2.558, 2.558, 2.558, 0, 10, 2.558, 7.418, 4.86, 1238, 2, 7.418, 7.428, 0.01, 3,     4.870,
 11, 0, 2.732, 2.732, 2.826, 0.094, 189, 2.826, 7.92, 5.094, 2033, 2, 7.92, 7.937, 0.016, 33,     5.205,
 12, 0, 2.743, 2.743, 2.951, 0.209, 394, 2.951, 8.181, 5.23, 1689, 2, 8.181, 8.254, 0.072, 145,     5.511,
 14, 0, 3.129, 3.129, 3.187, 0.058, 116, 3.187, 9.438, 6.251, 1687, 2, 9.438, 9.702, 0.264, 526,     6.573,
 15, 0, 3.287, 3.287, 3.722, 0.436, 872, 3.722, 10.44, 6.718, 1857, 2, 10.44, 10.463, 0.023, 46,     7.177,
 16, 0, 3.323, 3.323, 3.75, 0.427, 37, 3.75, 10.7, 6.95, 1117, 2, 10.7, 10.758, 0.058, 116,     7.435,
 17, 0, 3.345, 3.345, 3.774, 0.429, 36, 3.774, 10.955, 7.181, 1238, 2, 10.955, 11.063, 0.108, 216,     7.718,
